BOROUGH,SITE_NUMBER,AD,ED
1,10768,71,16
3,B0258,57,53
1,11287,66,55
3,11280,56,30
3,B0176,57,95
3,B0263,55,37
2,11746,77,82
3,B0346,55,4
2,10949,82,2
3,B0087,57,50
3,B0372,60,67
1,M0287,71,72
4,Q0085,26,39
4,10453,39,24
3,B0119,50,74
2,X0005,79,17
4,Q0175,34,57
1,M0240,71,25
2,10354,83,74
1,11481,75,63
4,Q0180,30,50
5,11480,63,49
4,Q0175,34,59
5,11201,63,63
3,B0141,46,43
3,B0306,53,80
5,11780,62,6
5,S0034,62,55
2,X0215,85,49
3,B0037,43,39
1,M0192,75,12
5,S0059,62,8
3,11118,59,50
2,X0053,85,12
3,B0207,51,24
5,S0043,64,31
3,10557,57,86
3,B0106,45,27
1,11487,69,13
4,Q0232,30,25
2,X0213,79,80
3,10437,42,21
1,10611,65,93
4,Q0301,34,17
3,10718,54,4
1,10275,72,36
1,11514,68,82
4,Q0197,31,54
1,10139,74,36
4,Q0166,37,65
4,Q0098,25,16
3,B0288,51,67
4,Q0076,23,44
2,11746,84,83
1,M0081,70,41
5,10027,64,24
3,B0133,44,78
3,B0349,47,63
4,Q0092,29,27
3,B0024,59,66
3,B0289,48,68
4,Q0273,38,54
3,11440,51,44
4,11436,33,36
1,M0082,71,27
2,X0068,77,37
1,M0290,74,1
3,11537,56,66
1,M0064,68,103
3,B0328,55,53
2,X0013,77,46
3,B0187,52,28
2,X0064,85,2
1,11529,67,22
2,11738,79,15
2,X0092,78,63
3,B0149,64,95
4,Q0013,32,15
4,Q0227,28,63
1,M0129,76,39
1,M0084,68,72
2,10949,82,6
3,B0293,60,12
4,Q0142,40,16
2,X0093,86,22
3,B0098,55,83
1,11575,71,84
4,Q0121,36,33
3,B0386,42,8
3,B0133,44,79
1,M0237,67,91
3,10366,50,6
2,X0003,87,92
3,B0217,41,57
4,10609,34,31
3,11246,49,13
1,M0018,73,78
3,B0291,43,6
3,B0348,64,96
1,M0106,72,53
2,X0149,80,56
2,10078,85,43
4,Q0128,30,69
2,X0020,81,6
3,B0216,52,62
4,Q0050,32,24
2,11754,82,100
3,B0126,57,17
1,M0156,74,92
5,S0076,64,43
1,M0248,70,82
4,10287,23,30
3,11107,58,43
2,10354,83,80
3,11229,57,82
4,Q0074,25,45
4,Q0299,28,50
3,B0165,46,29
3,B0247,52,32
1,M0072,69,36
2,X0028,87,32
2,X0219,82,73
2,11758,82,99
4,Q0126,25,67
1,M0169,72,10
5,S0058,61,5
4,11458,33,65
4,11498,33,50
4,Q0006,39,8
3,10254,50,31
4,Q0025,31,18
3,10319,41,60
4,10735,24,82
5,S0023,61,47
4,Q0145,36,68
3,B0216,52,60
1,M0044,67,68
4,Q0188,35,11
3,B0235,48,12
3,B0307,44,35
1,M0063,71,92
4,Q0180,37,27
1,M0326,69,30
4,Q0062,27,76
3,11269,48,28
1,M0064,68,98
3,B0314,64,81
4,Q0047,32,34
4,Q0295,33,19
1,11748,69,12
1,M0171,76,61
2,X0035,77,15
3,B0250,57,91
5,11505,61,3
2,11456,83,67
4,Q0131,29,43
4,Q0216,28,54
3,B0026,59,12
2,X0201,84,15
5,S0031,63,39
2,X0103,82,31
3,B0243,48,5
4,10731,34,8
4,Q0116,33,20
2,X0037,81,95
3,B0332,49,24
3,B0294,52,44
2,X0226,79,43
2,10212,82,118
4,10201,35,41
1,M0073,74,7
4,11157,37,57
1,10176,73,41
3,B0133,44,71
3,B0314,64,82
1,10465,75,48
2,X0023,86,25
4,10560,26,2
3,B0313,59,56
3,11293,50,9
1,10553,74,69
